Fecha,Dolar Blue Minimo,Dolar Blue Maximo,Dolar Blue Esperado
2022-11-5,274.10435909863895,312.0094596320402,289.0569093653396
2022-11-6,274.80827647393977,313.59969487245877,290.20398567319927
2022-11-7,273.65022900144095,310.23868869552416,287.94445884848255
2022-11-8,274.35414637674177,311.82892393594267,289.0915351563422
2022-11-9,275.0580637520426,313.4191591763612,290.2386114642019
2022-11-10,275.7619811273434,315.0093944167787,291.38568777206103
2022-11-11,276.4658985026442,316.599629657197,292.53276407992064
2022-11-12,277.1698158779451,318.18986489761664,293.67984038778087
2022-11-13,277.87373325324586,319.7801001380344,294.82691669564014
2022-11-14,276.71568578074704,316.41909396109986,292.5673898709234
2022-11-15,277.41960315604786,318.0093292015184,293.71446617878314
2022-11-16,278.1235205313487,319.59956444193665,294.86154248664263
2022-11-17,278.8274379066495,321.1897996823559,296.0086187945027
2022-11-18,279.53135528195037,322.7800349227737,297.1556951023621
2022-11-19,280.23527265725113,324.37027016319144,298.3027714102213
2022-11-20,280.939190032552,325.9605054036106,299.4498477180813
2022-11-21,279.7811425600531,322.59949922667624,297.1903208933647
2022-11-22,280.48505993535395,324.1897344670941,298.337397201224
2022-11-23,281.18897731065476,325.77996970751315,299.48447350908395
2022-11-24,281.89289468595564,327.3702049479317,300.6315498169437
2022-11-25,282.59681206125646,328.9604401883487,301.7786261248026
2022-11-26,283.3007294365573,330.5506754287671,302.9257024326622
2022-11-27,284.0046468118581,332.1409106691864,304.07277874052227
2022-11-28,282.8465993393593,328.7799044922517,301.8132519158055
2022-11-29,283.55051671466003,330.3701397326697,302.9603282236649
2022-11-30,284.2544340899609,331.9603749730885,304.1074045315247
2022-12-1,279.2167330638958,321.0264726049861,296.121602834441
2022-12-2,279.9206504391966,322.6167078454042,297.2686791423004
2022-12-3,280.6245678144974,324.206943085823,298.4157554501602
2022-12-4,281.32848518979824,325.7971783262414,299.5628317580198
