Año,Semana,Mes,Dia_mes,Dia_semana,valor_dolar_oficial,var($)_dolar_oficial,var(%)_dolar_oficial,valor_dolar_blue,var($)_dolar_blue,var(%)_dolar_blue,valor_merval,var($)_merval,var(%)_merval,valor_merval_usd,var($)_merval_usd,var(%)_merval_usd,valor_reservas,var($)_reservas,var(%)_reservas,valor_circulacion_monetaria,var($)_circulacion_monetaria,var(%)_circulacion_monetaria,valor_base_monetaria,var($)_base_monetaria,var(%)_base_monetaria,valor_base_monetaria_usd_blue,var($)_base_monetaria_usd_blue,var(%)_base_monetaria_usd_blue,valor_efec_ent_financieras,var($)_efec_ent_financieras,var(%)_efec_ent_financieras
2019,45,11,5,2,59.68,-0.0799999999999983,-0.0013386880856760541,64.5,-1.0,-0.01526717557251911,36869.96,-408.58000000000175,-0.010960193183531364,571.627,2.488999999999919,0.00437328029405859,43381.0,57.0,0.0013156679900285795,935636.0,6524.0,0.007021758410180823,1417718.0,-20363.0,-0.014159842178569915,21980.124,24.688900000001013,0.00112450060258662,114115.0,3131.0,0.028211273697109407
2019,45,11,7,4,59.6,-0.0799999999999983,-0.0013404825737265424,64.0,-0.5,-0.007751937984496138,35869.21,-1000.75,-0.027142692858901918,560.456,-11.170999999999935,-0.019542463879417715,43106.0,-275.0,-0.006339180747331752,941492.0,5856.0,0.006258844251396889,1430035.0,12317.0,0.008687905493194092,22344.2969,364.1729000000014,0.016568282326341777,115177.0,1062.0,0.009306401437146672
2019,45,11,8,5,59.54,-0.060000000000002274,-0.0010067114093960106,65.25,1.25,0.01953125,34131.05,-1738.1599999999962,-0.048458273823147935,523.081,-37.375,-0.06668676934496198,43338.0,232.0,0.005382081380782333,945017.0,3525.0,0.0037440573047886616,1462649.0,32614.0,0.022806434807539633,22416.0766,71.77969999999914,0.003212439412224155,110522.0,-4655.0,-0.04041605528881631
2019,46,11,11,1,59.75,0.21000000000000085,0.003527040644944579,64.5,-0.75,-0.011494252873563204,33656.8,-474.25,-0.013894972466419908,521.811,-1.2699999999999818,-0.0024279222529588473,43272.0,-66.0,-0.001522912917070518,946131.0,1114.0,0.0011788147726443654,1520708.0,58059.0,0.03969441745764013,23576.8682,1160.7916000000005,0.05178388799759892,109920.0,-602.0,-0.005446879354336742
2019,46,11,12,2,59.75,0.0,0.0,65.5,1.0,0.015503875968992276,33430.14,-226.6600000000035,-0.00673444890779884,510.384,-11.427000000000021,-0.021898733449467356,43418.0,146.0,0.0033740062858198527,944227.0,-1904.0,-0.002012406315827331,1571481.0,50773.0,0.033387737816859,23992.0763,415.20809999999983,0.01761082500346678,114325.0,4405.0,0.040074599708879166
2019,46,11,13,3,59.74,-0.00999999999999801,-0.00016736401673633772,66.75,1.25,0.01908396946564883,32340.7,-1089.4399999999987,-0.03258855631475066,484.505,-25.87900000000002,-0.050704959403116145,43474.0,56.0,0.0012897876456769986,942368.0,-1859.0,-0.0019688062298578446,1583430.0,11949.0,0.007603655405315157,23721.7978,-270.27850000000035,-0.01126532346014586,113687.0,-638.0,-0.005580581675049157
2019,46,11,14,4,59.73,-0.010000000000005116,-0.00016739203213933518,66.75,0.0,0.0,31019.69,-1321.010000000002,-0.04084667307757728,464.714,-19.790999999999997,-0.04084787566691772,43558.0,84.0,0.001932189354556746,941024.0,-1344.0,-0.0014261944378416436,1602091.0,18661.0,0.011785175220881294,24001.3633,279.5655000000006,0.011785173381757774,112909.0,-778.0,-0.006843350602971365
2019,46,11,15,5,59.69,-0.03999999999999915,-0.0006696802276913161,66.75,0.0,0.0,31851.61,831.9200000000019,0.026819094581538527,477.178,12.463999999999999,0.02682079730759135,43508.0,-50.0,-0.0011478947610082946,939484.0,-1540.0,-0.0016365151154487112,1610740.0,8649.0,0.005398569744165638,24130.9363,129.57300000000032,0.005398568338824239,109973.0,-2936.0,-0.02600324154850364
2019,47,11,19,2,59.71,0.020000000000003126,0.0003350644999162711,66.5,-0.25,-0.0037453183520599342,32252.78,401.16999999999825,0.012594967726906159,485.004,7.826000000000022,0.01640058845965231,43533.0,25.0,0.0005746069688332689,937886.0,-1598.0,-0.0017009337040332362,1605443.0,-5297.0,-0.003288550604070184,24142.0,11.06369999999879,0.0004584861466812029,112056.0,2083.0,0.018941012794049472
2019,47,11,20,3,59.72,0.00999999999999801,0.00016747613465084576,66.75,0.25,0.003759398496240518,33421.12,1168.3400000000038,0.03622447429337883,500.691,15.686999999999955,0.03234406314174709,43498.0,-35.0,-0.0008039877793857286,935817.0,-2069.0,-0.00220602503929046,1615596.0,10153.0,0.006324111164332846,24203.6854,61.68539999999848,0.0025551072819152143,114818.0,2762.0,0.02464839009066888
2019,47,11,21,4,59.75,0.030000000000001137,0.0005023442732752237,66.75,0.0,0.0,33247.39,-173.7300000000032,-0.005198209994159431,498.088,-2.602999999999952,-0.005198815237341892,43538.0,40.0,0.0009195825095407173,933209.0,-2608.0,-0.0027868696550714667,1643444.0,27848.0,0.017236982512955024,24620.8839,417.19850000000224,0.0172369824307832,112062.0,-2756.0,-0.02400320507237541
2019,47,11,22,5,59.79,0.03999999999999915,0.0006694560669455729,68.5,1.75,0.02621722846441954,33588.83,341.4400000000023,0.010269678311590758,490.348,-7.740000000000009,-0.015539422752606002,43589.0,51.0,0.001171390509439929,931168.0,-2041.0,-0.0021870770641946313,1655187.0,11743.0,0.007145360596406025,24163.3139,-457.5699999999997,-0.018584629287009435,107832.0,-4230.0,-0.03774696150345347
